Prefix,Folder1 File,Folder2 File,SSIM,MSE,NCC,Pixel Overlap
Image_01L,Image_01L.png,Image_01L_2ndHO.png,0.7646564482883067,18.357416791791792,0.38365533304474486,0.5108671171171171
Image_01R,Image_01R.png,Image_01R_2ndHO.png,0.7626808088446596,17.737521896896897,0.3451843416655228,0.5071112779446113
Image_02L,Image_02L.png,Image_02L_2ndHO.png,0.7347646098876025,20.45298736236236,0.3852710047840079,0.488428011344678
Image_02R,Image_02R.png,Image_02R_2ndHO.png,0.7266613297557252,19.773877002002003,0.30469849372190816,0.4817974224224224
Image_03L,Image_03L.png,Image_03L_2ndHO.png,0.7330767178941155,20.52784346846847,0.3517933399971904,0.5034378128128129
Image_03R,Image_03R.png,Image_03R_2ndHO.png,0.7424133969517943,19.320395395395394,0.3291005609027876,0.4977487904571238
Image_04L,Image_04L.png,Image_04L_2ndHO.png,0.7623414932592331,17.520830205205204,0.30766864216272843,0.5157657657657657
Image_04R,Image_04R.png,Image_04R_2ndHO.png,0.7638737131546443,17.30926968635302,0.2928803908346442,0.529124958291625
Image_05L,Image_05L.png,Image_05L_2ndHO.png,0.7553119877382419,19.065215215215215,0.4131656825978075,0.49393664497831163
Image_05R,Image_05R.png,Image_05R_2ndHO.png,0.741922948598816,20.598423423423423,0.4190291692679732,0.48530613947280615
Image_06L,Image_06L.png,Image_06L_2ndHO.png,0.7777438535776413,17.362933767100433,0.38956004218588125,0.5033137303970637
Image_06R,Image_06R.png,Image_06R_2ndHO.png,0.7316486126363908,19.876721513179845,0.2989070203074734,0.4976361778445112
Image_07L,Image_07L.png,Image_07L_2ndHO.png,0.7410942282987198,19.878458667000334,0.35221180823378756,0.49441003503503506
Image_07R,Image_07R.png,Image_07R_1stHO.png,0.743537068198094,20.050393101434768,0.37542620612856914,0.5046421421421421
Image_08L,Image_08L.png,Image_08L_2ndHO.png,0.7300379598162081,19.49801363863864,0.31888725326477596,0.5107075825825825
Image_08R,Image_08R.png,Image_08R_2ndHO.png,0.7579677916234444,17.620376626626626,0.3400271232138082,0.5283971471471471
Image_09L,Image_09L.png,Image_09L_2ndHO.png,0.759632897005898,17.78311853520187,0.3926431298013234,0.4838359192525859
Image_09R,Image_09R.png,Image_09R_2ndHO.png,0.7527922031639017,18.373773773773774,0.4167749328160053,0.4836482315648982
Image_10L,Image_10L.png,Image_10L_2ndHO.png,0.7055637835049412,22.141558224891558,0.31190420022874477,0.4858024691358025
Image_10R,Image_10R.png,Image_10R_2ndHO.png,0.7218982239571107,20.484971429763096,0.3358500810432049,0.49444027360694026
Image_11L,Image_11L.png,Image_11L_2ndHO.png,0.7444573693253548,19.505268810477144,0.48699559550047605,0.4799215882549216
Image_11R,Image_11R.png,Image_11R_2ndHO.png,0.7709357754987193,17.512697072072072,0.48614945407616417,0.49301176176176176
Image_12L,Image_12L.png,Image_12L_2ndHO.png,0.738179233373319,19.46807745245245,0.32492947227932517,0.48680451284617954
Image_12R,Image_12R.png,Image_12R_2ndHO.png,0.7254514305339371,21.36203078078078,0.36041697790346167,0.488939981648315
Image_13L,Image_13L.png,Image_13L_2ndHO.png,0.7766805380476582,16.78636448948949,0.3538227447828984,0.5325971805138472
Image_13R,Image_13R.png,Image_13R_2ndHO.png,0.7456208061025201,18.392696863530198,0.26293532118234697,0.5251553636970303
Image_14L,Image_14L.png,Image_14L_2ndHO.png,0.7652301265714077,18.75978061394728,0.42300412912394,0.4970606022689356
Image_14R,Image_14R.png,Image_14R_2ndHO.png,0.7696905793647937,16.747629921588256,0.28420804366002855,0.5002408658658659
Overall Average,-,-,0.7480666405347571,19.009594490323654,0.35882501766826896,0.5001460537918871
